,report_id,store_id,uptime_last_hour,downtime_last_hour,uptime_last_day,downtime_last_day,uptime_last_week,downtime_last_week
2544,46,2626624656925688287,0,60,0,15,0,105
2545,46,2627249392969556810,60,0,23,0,161,0
2546,46,2627949047200693648,,,8,5,64,33
2547,46,262841265877764950,,,14,0,102,6
2548,46,2629184682400455388,,,0,12,0,84
2549,46,2629214850687686775,,,,,0,0
2550,46,2629448496092483341,,,0,12,0,73
2551,46,2629726035639780440,,,11,0,77,0
2552,46,2630360022847622446,,,10,0,70,0
2553,46,263216768403963823,60,0,23,0,161,0
2554,46,2632216845004136149,60,0,23,0,161,0
2555,46,2633237185390656193,0,60,0,23,0,161
2556,46,2633502222373793104,0,60,0,23,0,161
2557,46,2633726356226986802,,,9,0,82,0
2558,46,2633934512685209418,60,0,23,0,161,0
2559,46,2634509027897804646,,,6,0,41,1
2560,46,26346307409368308,,,1,0,4,4
2561,46,263527344476124274,60,0,23,0,161,0
2562,46,2635546946415950890,,,0,12,0,84
2563,46,2636260465581969270,60,0,23,0,161,0
2564,46,2637135180128265866,,,10,0,68,0
2565,46,2637487609551982070,0,60,0,23,4,93
2566,46,2637586174271498143,60,0,10,0,83,0
2567,46,2638927457243297483,,,11,0,72,0
2568,46,2639750514662973687,,,14,0,98,0
2569,46,2640346450788765542,,,0,12,0,84
2570,46,2640393825397598972,,,11,0,77,0
2571,46,264348482398543112,60,0,23,0,161,0
2572,46,2644375071951168617,,,11,0,72,0
2573,46,2644506338402062871,60,0,23,0,161,0
2574,46,264518098330048319,60,0,13,0,91,0
2575,46,2645754712558739417,,,0,12,0,84
2576,46,2647013408110156856,60,0,16,0,111,0
2577,46,2647628535519736260,,,10,0,70,0
2578,46,2647818083036840309,60,0,17,0,119,0
2579,46,2648335841600523627,,,10,0,71,0
2580,46,264845592669014577,,,10,0,70,0
2581,46,2648464785159803463,60,0,7,0,49,0
2582,46,2649340245056723895,60,0,23,0,161,0
2583,46,2649391977742780890,60,0,23,0,161,0
2584,46,2650516056461391279,0,60,0,23,0,161
2585,46,2651410741190020364,,,0,1,1,6
2586,46,2651685499613063745,60,0,23,0,161,0
2587,46,2653750922932117023,60,0,23,0,161,0
2588,46,2654158616835689898,,,0,4,0,66
2589,46,2654794462633250702,,,9,0,91,0
2590,46,2655031593291485659,60,0,23,0,154,0
2591,46,2655409521668853604,,,2,0,14,0
2592,46,2656686419946325907,60,0,23,0,161,0
2593,46,2658137875660247314,,,,,0,72
2594,46,2659327031462849111,60,0,15,0,110,0
2595,46,2659424009886700957,60,0,22,1,150,11
2596,46,2659535035040072426,,,12,0,84,0
2597,46,2659680040820514785,0,60,0,23,0,161
2598,46,2659909958666054687,0,60,0,23,0,161
2599,46,2660718690144309374,60,0,23,0,161,0
2600,46,2662551240879654986,60,0,23,0,161,0
2601,46,2663109925048280145,,,1,0,51,0
2602,46,2664619689278228595,60,0,23,0,161,0
2603,46,2665386284567163836,0,60,17,6,103,58
2604,46,2665513692618901796,,,0,9,0,63
2605,46,2665706625006203381,60,0,23,0,161,0
2606,46,2665916158676931486,60,0,23,0,161,0
2607,46,2666209032810109242,60,0,23,0,161,0
2608,46,2666966683491799598,0,60,0,23,0,161
2609,46,2667475460112720223,60,0,11,0,87,0
2610,46,2668938902790339159,60,0,23,0,161,0
2611,46,2669346356105288328,,,2,0,14,0
2612,46,2669415856469234059,60,0,23,0,161,0
2613,46,2669539681763397123,60,0,11,0,77,0
2614,46,2670120517730073956,60,0,23,0,161,0
2615,46,2670772242179652630,0,60,1,22,3,80
2616,46,2670800031826856367,,,4,0,23,0
2617,46,2671352006512594556,,,9,0,57,0
2618,46,267283574377882519,,,16,0,112,0
2619,46,2673178392440516124,60,0,23,0,161,0
2620,46,2673661615772379850,0,60,0,23,0,161
2621,46,267404321924500393,60,0,23,0,160,1
2622,46,2675380155472325293,0,60,0,23,0,161
2623,46,2675794447991393951,60,0,14,0,97,0
2624,46,2676030544963990640,,,11,0,77,0
2625,46,2676803553319857882,,,8,0,63,0
2626,46,2677028654231221409,,,10,0,83,0
2627,46,2677415097765332649,,,5,0,35,0
2628,46,2677768116033795085,,,0,6,9,28
2629,46,2677994550236207135,,,9,0,77,0
2630,46,2678802287161480395,60,0,23,0,161,0
2631,46,2679124398332312892,60,0,10,1,42,30
2632,46,2679451973981433029,60,0,23,0,161,0
2633,46,2679675312292748904,,,3,0,21,0
2634,46,2680277740070438303,,,11,0,77,0
2635,46,2680489839325406534,,,11,0,77,0
2636,46,2680650532958055131,,,0,1,0,50
2637,46,2680918734581318636,,,3,0,18,0
2638,46,2681100608050207944,60,0,11,0,87,0
2639,46,2681507616267277540,,,0,12,0,84
2640,46,2682314402849553166,,,0,10,10,73
2641,46,2682862745480004817,,,11,0,72,0
2642,46,2684234588185812702,0,60,0,23,0,161
2643,46,2684656762078185716,0,60,0,23,0,161
2644,46,2685261329336515020,60,0,23,0,161,0
2645,46,2686432193944331916,0,60,0,23,0,161
2646,46,2687435974295642717,60,0,23,0,161,0
2647,46,2688046780224592424,,,0,10,0,70
